순번,한자,급수,부수,음,훈,音,訓
85,謁,2.5,言,알,뵈다,エツ,まみ(える)
86,閲,3,門,열,보다,エツ,けみ(する)・へ(る)
87,円,10,冂,원,"둥글다, 화폐 단위",エン,まる(い)・まど(か)・つぶら(か)・まろ(やか)
88,延,5,廴,연,"길어지다, 늦추다, 늘이다",エン,の(びる)・の(べる)・の(ばす)・ひ(く)・は(え)
89,沿,5,水,연,물을 따르다,エン,そ(う)・ふち
90,炎,3,火,염,화염,エン,ほのお・も(える)
91,怨,2,心,원,원망하다,エン・オン,うら(む)・うら(み)
92,宴,3,宀,연,잔치,エン,うたげ・たの(しむ)
93,媛,7,女,원,여자,エン,ひめ
94,援,4,手,원,돕다,エン,たす(ける)・ひ(く)
95,園,9,囗,원,동산,エン・オン,その・にわ
96,煙,4,火,연,연기,エン,けむ(る)・けむり・けむ(い)・けぶ(る)・けむ
97,猿,2.5,犬,원,원숭이,エン,さる・ましら
98,遠,9,辵,원,멀다,エン・オン,とお(い)・おち
99,鉛,4,金,연,납,エン,なまり・おしろい
100,塩,7,土,염,소금,エン・アン,しお
101,演,6,水,연,공연,エン,の(べる)・おこな(う)
102,縁,4,糸,연,"테두리, 인연",エン,ふち・へり・よ(る)・えにし・ゆかり・よすが
103,艶,2,色,염,"광택, 애교, 곱다",エン,つや・なまめ(かしい)・あで(やか)・うらや(む)
104,汚,4,水,오,더럽다,オ,けが(す)・けが(れる)・けが(らわしい)・よご(す)・よご(れる)・きたな(い)
105,王,10,玉,왕,임금,オウ,きみ
106,凹,2.5,凵,요,오목하다,オウ,くぼ(む)・へこ(む)・へこ(ます)
107,央,8,大,앙,가운데,オウ,なか(ば)
108,応,6,心,응,응하다,オウ,こた(える)・まさ(に…べし)
109,往,6,彳,왕,가다,オウ,ゆ(く)・いにしえ
110,押,4,手,압,누르다,オウ,お(す)・お(さえる)
111,旺,2,日,왕,왕성,オウ,さか(ん)
112,欧,3,欠,구,유럽,オウ,は(く)
113,殴,3,殳,구,때리다,オウ,なぐ(る)・う(つ)・たた(く)
114,桜,6,木,앵,"벚꽃, 앵두",オウ,さくら
115,翁,2.5,羽,옹,늙은이,オウ,おきな
116,奥,4,大,오,"속, 부인",オウ,おく・くま
117,横,8,木,횡,가로,オウ・コウ,よこ・よこ(たわる)
118,岡,7,山,강,산등성이,コウ,おか
119,屋,8,尸,옥,집,オク,や・いえ・やね
120,億,7,人,억,100000000,オク,おしはか(る)
121,憶,4,心,억,생각하다,オク,おぼ(える)・おも(う)
122,臆,2,肉,억,"가슴, 억지",オク,おしはか(る)
123,虞,2.5,虍,우,염려,グ,おそれ
124,乙,3,乙,을,두 번째,オツ・イツ,きのと・おと
125,俺,2,人,엄,나,エン,おれ・われ
126,卸,3,卩,사,도매하다,シャ,おろ(す)・おろし
127,音,10,音,음,소리,オン・イン,おと・ね・たよ(り)
128,恩,5,心,은,은혜,オン,めぐ(み)
129,温,8,水,온,따뜻하다,オン・ウン,あたた(か)・あたた(かい)・あたた(まる)・あたた(める)・ぬく(い)・ぬる(い)・ぬく(める)・ぬく(まる)・たず(ねる)・つつ(む)
130,穏,3,禾,온,평온함,オン,おだ(やか)・やす(らか)
131,下,10,一,하,"아래, 내리다, 내려오다",カ・ゲ,した・しも・もと・さ(げる)・さ(がる)・くだ(る)・くだ(す)・くだ(さる)・お(ろす)・お(りる)
132,化,8,匕,화,"되다, 둔갑하다, 홀리다, 괴물",カ・ケ,ば(ける)・ば(かす)・か(わる)・か(える)
133,火,10,火,화,불,カ・コ,ひ・ほ
134,加,7,力,가,더하다,カ,くわ(える)・くわ(わる)
135,可,6,口,가,옳다,カ・コク,よ(い)・べ(し)
136,仮,6,人,가,"거짓, 만약",カ・ケ,かり・か(す)
137,何,9,人,하,무엇,カ,なに・なん・いず(れ)・いず(く)
138,花,10,艸,화,꽃,カ・ケ,はな
139,佳,3,人,가,아름답다,カ,よ(い)
140,価,6,人,가,값,カ,あたい
141,果,7,木,과,"열매, 끝, 완수하다, 끝나다",カ,は(たす)・は(てる)・は(て)・くだもの・おお(せる)・はか
142,河,6,水,하,물,カ,かわ
143,苛,2,艸,가,"가혹, 초조해지다",カ,から(い)・きび(しい)・むご(い)・わずら(わしい)・いら(だつ)・さいな(む)・いじ(める)
144,科,9,禾,과,과목,カ,とが・しな・しぐさ
145,架,3,木,가,"걸이, 걸치다",カ,か(ける)・か(かる)・たな
146,夏,9,夂,하,여름,カ・ゲ,なつ
147,家,9,宀,가,집,カ・ケ,いえ・や・うち
148,荷,8,艸,하,짐,カ,に・にな(う)・はす
149,華,3,艸,화,"꽃, 화려하다",カ・ケ・ゲ,はな・しろ(い)
150,菓,4,艸,과,과자,カ,くだもの
151,貨,7,貝,화,재물,カ,たから
152,渦,2.5,水,와,소용돌이,カ,うず
153,過,6,辵,과,"지나다, 보내다, 잘못하다",カ,す(ぎる)・す(ごす)・あやま(つ)・あやま(ち)・よぎ(る)・とが
154,嫁,3,女,가,"며느리, 시집가다",カ,よめ・とつ(ぐ)
155,暇,4,日,가,"틈, 시간",カ,ひま・いとま
156,禍,2.5,示,화,재앙,カ,わざわ(い)・まが
157,靴,2.5,革,화,신발,カ,くつ
158,寡,2.5,宀,과,적다,カ,すく(ない)・やもめ
159,歌,9,欠,가,노래,カ,うた・うた(う)
160,箇,4,竹,개,낱,カ・コ,無し
161,稼,2.5,禾,가,돈을 벌다,カ,かせ(ぐ)・みの(り)・う(える)
162,課,7,言,과,공부,カ,わりあ(てる)・はか(る)・こころ(みる)
163,蚊,2.5,虫,문,모기,ブン,か
164,牙,2,牙,아,어금니,ガ・ゲ,きば・は・さいとり
165,瓦,2,瓦,와,"기와, 그램",ガ,かわら・かわらけ・グラム
166,我,5,戈,아,나,ガ,われ・わ
167,画,9,田,"화, 획",그림,ガ・カク,え・えが(く)・か(く)・かぎ(る)・はか(る)
168,芽,7,艸,아,싹,ガ,め・めぐ(む)
169,賀,7,貝,하,축하,ガ,よろこ(ぶ)
170,雅,4,隹,아,맑다,ガ,みやび・みやび(やか)・つね
