순번,한자,급수,부수,음,훈,音,訓,예시 단어
40,育,8,肉,육,"자라다, 기르다",イク,そだ(つ)・そだ(てる)・はぐく(む),"教育(きょういく), 子育て(こそだて), 育て(そだて), 保育園(ほいくえん), 育児(いくじ)"
41,一,10,一,일,"1, 하나",イチ・イツ,ひと・ひと(つ)・はじ(め),"一方(いっぽう), 一緒に(いっしょに), 一番(いちばん), 一つ(ひとつ), 一覧(いちらん)"
42,壱,4,士,일,1,イチ・イツ,ひと(つ),
43,逸,2.5,辵,일,"편안하다, 빗나가다, 놓치다",イツ・イチ,はし(る)・うしな(う)・そ(れる)・そ(らす)・はぐ(れる)・すぐ(れる)・はや(る),"秀逸(しゅういつ), 逸品(いっぴん), 逸脱(いつだつ), 逸話(いつわ), 逸材(いつざい)"
44,茨,7,艸,자,가시나무,シ,いばら・くさぶき,茨城県(いばらきけん)
45,芋,4,艸,우,토란,ウ,いも,"里芋(さといも), 焼き芋(やきいも), 芋焼酎(いもじょうちゅう), さつま芋(さつまいも)"
46,引,9,弓,인,"끌다, 내키지 않다",イン,ひ(く)・ひ(ける),"引き(ひき), 取引(とりひき), 引退(いんたい), 引き続き(ひきつづき), 引き上げ(ひきあげ)"
47,印,7,卩,인,"도장, 표시",イン,しるし・しる(す),"印象(いんしょう), 印刷(いんさつ), 印象的(いんしょうてき), 封印(ふういん), 調印(ちょういん)"
48,因,6,囗,인,원인,イン,よ(る)・ちな(む)・ちなみ・よすが,"原因(げんいん), 要因(よういん), 一因(いちいん), 死因(しいん), 因果関係(いんがかんけい)"
49,咽,2,口,인,"목구멍, 목메다",イン・エツ・エン,のど・むせ(ぶ)・の(む),
50,姻,2.5,女,인,혼인,イン,とつ(ぐ),"婚姻届(こんいんとどけ), 婚姻(こんいん)"
51,員,8,口,원,인원,イン,かず,"職員(しょくいん), 議員(ぎいん), 裁判員(さいばんいん), 委員会(いいんかい), 全員(ぜんいん)"
52,院,8,阜,원,집,イン,かき・かこい,"病院(びょういん), 衆院(しゅういん), 学院(がくいん), 院議(いんぎ), 参院選(さんいんせん)"
53,淫,2,水,음,음란하다,イン,みだ(ら)・あふ(れる)・ふけ(る)・ほしいまま・みだ(す)・みだら・おお(きい)・ながあめ,
54,陰,4,阜,음,그늘,イン・オン・アン,かげ・かげ(る)・くら(い)・ひそ(か),"お陰で(おかげで), 陰で(かげで), 陰謀(いんぼう), 陰に(いんに), 山陰(さんいん)"
55,飲,8,食,음,마시다,イン・オン,の(む),"飲み(のみ), 飲む(のむ), 飲食店(いんしょくてん), 飲酒(いんしゅ), 飲み会(のみかい)"
56,隠,4,阜,은,"숨다, 숨기다",イン・オン,かく(す)・かく(れる),"隠し(かくし), 隠れ(かくれ), 隠す(かくす), 神隠し(かみかくし), 隠れる(かくれる)"
57,韻,2.5,音,운,운율,イン,ひびき・おもむき,余韻(よいん)
58,右,10,口,우,오른쪽,ウ・ユウ,みぎ・たす(ける),"左右(さう), 右腕(うわん), 右翼(うよく), 右手(みぎて), 右足(みぎあし)"
59,宇,5,宀,우,집,ウ,のき・いえ,"宇宙(うちゅう), 宇宙飛行士(うちゅうひこうし), 宇宙人(うちゅうじん), 宇宙船(うちゅうせん), 国際宇宙ステーション(こくさいうちゅうステーション)"
60,羽,9,羽,우,날개,ウ,は・はね,"羽根(はね), 羽織(はおり), 羽毛(うもう), 千羽鶴(せんばづる), 羽目(はめ)"
61,雨,10,雨,우,비,ウ,あめ・あま,"時雨(しぐれ), 豪雨(ごうう), 大雨(おおあめ), 降雨(こうう), 雨水(あまみず)"
62,唄,2,口,패,노래,バイ,うた,
63,鬱,2,鬯,울,우울하다,ウツ,しげ(る)・ふさ(ぐ)・さか(ん),"憂鬱(ゆううつ), 鬱病(うつびょう), 鬱陶しい(うっとうしい)"
64,畝,2.5,田,묘,밭두둑,ホ・ボウ,うね・せ,
65,浦,2.5,水,포,"물가, 포구",ホ,うら,
66,運,8,辵,운,옮기다,ウン,はこ(ぶ)・めぐ(る)・さだめ,"運営(うんえい), 運転(うんてん), 運動(うんどう), 運用(うんよう), 運行(うんこう)"
67,雲,9,雨,운,구름,ウン,くも,"風雲(かざぐも), 暗雲(あんうん), 星雲(せいうん), 東雲(しののめ)"
68,永,6,水,영,영원하다,エイ・ヨウ,なが(い)・とこしえ,"永遠(えいえん), 永田町(ながたちょう), 永住(えいじゅう), 永久(えいきゅう), 永久に(えいきゅうに)"
69,泳,8,水,영,헤엄치다,エイ,およ(ぐ),"水泳(すいえい), 競泳(きょうえい), 泳ぐ(およぐ), 平泳ぎ(ひらおよぎ), 泳ぎ(およぎ)"
70,英,7,艸,영,"꽃부리, 영국",エイ,はなぶさ・はな・ひい(でる),"英語(えいご), 英国(えいこく), 英雄(えいゆう), 英訳(えいやく), 育英(いくえい)"
71,映,5,日,영,"비치다, 빛나다",エイ,うつ(る)・うつ(す)・は(える)・は(やす),"映画(えいが), 映像(えいぞう), 反映(はんえい), 上映(じょうえい), 映画祭(えいがさい)"
72,栄,7,木,영,"번영, 돋보이다",エイ,さか(える)・は(え)・は(える)・は(やす),"栄養(えいよう), 栄光(えいこう), 繁栄(はんえい), 栄養士(えいようし), 光栄(こうえい)"
73,営,6,ツ,영,경영하다,エイ,いとな(む),"経営(けいえい), 運営(うんえい), 営業(えいぎょう), 陣営(じんえい), 経営者(けいえいしゃ)"
74,詠,3,言,영,읊다,エイ,よ(む)・うた(う)・なが(める),
75,影,4,彡,영,그림자,エイ・ヨウ,かげ,"撮影(さつえい), 影響(えいきょう), 影響力(えいきょうりょく), 悪影響(あくえいきょう), 影響を及ぼす(えいきょうをおよぼす)"
