순번,한자,급수,부수,음,훈,音,訓,예시 단어
316,記,9,言,기,기록하다,キ,しる(す),"記事(きじ), 記録(きろく), 記念(きねん), 記者会見(きしゃかいけん), 記憶(きおく)"
317,起,8,走,기,"일어나다, 일으키다",キ,お(きる)・お(こる)・お(こす)・た(つ),"起訴(きそ), 起こし(おこし), 起用(きよう), 起こる(おこる), 起きる(おきる)"
318,飢,2.5,食,기,굶주리다,キ,う(える),"飢え(うえ), 飢餓(きが)"
319,鬼,4,鬼,귀,"귀신, 도깨비",キ,おに,"吸血鬼(きゅうけつき), 鬼武者(おにむしゃ), 疑心暗鬼(ぎしんあんき), 鬼ごっこ(おにごっこ), 鬼才(きさい)"
320,帰,9,巾,귀,"돌아가다, 돌아오다, 돌려보내다",キ,かえ(る)・かえ(す)・とつ(ぐ)・おく(る),"帰国(きこく), 復帰(ふっき), 帰り(かえり), 帰宅(きたく), 帰る(かえる)"
321,基,6,土,기,기본,キ,もと・もとい,"基準(きじゅん), 基本(きほん), 基礎(きそ), 基地(きち), 基本的に(きほんてきに)"
322,寄,6,宀,기,"접근하다, 밀려오다",キ,よ(る)・よ(せる),"寄せ(よせ), 寄付(きふ), 寄り(より), 年寄り(としより), 寄贈(きそう)"
323,規,6,見,규,법,キ,のり・ただ(す),"規制(きせい), 規模(きぼ), 大規模(だいきぼ), 規定(きてい), 新規(しんき)"
324,亀,2,亀,귀,거북이,キ・キュウ・キン,かめ・あかぎれ,亀裂(きれつ)
325,喜,6,口,희,기뻐하다,キ,よろこ(ぶ),"喜び(よろこび), 喜んで(よろこんで), 喜ぶ(よろこぶ), 大喜び(おおよろこび), 歓喜(かんき)"
326,幾,4,幺,기,얼마,キ,いく・ほとん(ど)・きざ(し)・こいねが(う),"幾つか(いくつか), 幾ら(いくら), 幾つも(いくつも), 幾多(いくた), 幾分(いくぶん)"
327,揮,5,手,휘,휘두르다,キ,ふる(う),"発揮(はっき), 指揮(しき), 指揮官(しきかん), 指揮者(しきしゃ), 揮毫(きごう)"
328,期,8,月,기,기간,キ・ゴ,とき・ちぎ(る)・き(める),"期待(きたい), 時期(じき), 期間(きかん), 早期(そうき), 長期(ちょうき)"
329,棋,3,木,기,바둑,キ・ゴ,無し,"将棋(しょうぎ), 棋士(きし), 棋聖(きせい), 日本棋院(にほんきいん), 棋譜(きふ)"
330,貴,5,貝,귀,"귀중하다, 공경하다",キ,たっと(い)・とうと(い)・たっと(ぶ)・とうと(ぶ)・たか(い),"貴重(きちょう), 貴方(あなた), 貴女(あなた), 貴族(きぞく), 貴金属(ききんぞく)"
331,棄,3,木,기,버리다,キ,す(てる),"放棄(ほうき), 棄却(ききゃく), 廃棄(はいき), 遺棄(いき), 棄権(きけん)"
332,毀,2,殳,훼,"부수다, 망가지다",キ,こぼ(つ)・やぶ(る)・やぶ(れる)・そし(る)・や(せる),
333,旗,7,方,기,깃발,キ,はた,"旗手(きしゅ), 国旗(こっき), 優勝旗(ゆうしょうき), 旗揚げ(はたあげ), 旗艦(きかん)"
334,器,7,口,기,그릇,キ,うつわ,"武器(ぶき), 核兵器(かくへいき), 機器(きき), 容器(ようき), 兵器(へいき)"
335,畿,2,田,기,수도 주변,キ,みやこ,"近畿(きんき), 近畿地方(きんきちほう)"
336,輝,4,車,휘,빛나다,キ,かがや(く)・て(る),"輝く(かがやく), 輝き(かがやき), 光輝(こうき), 輝かしい(かがやかしい)"
337,機,7,木,기,틀,キ,はた・からくり・きざ(し)・はずみ・おり,"機能(きのう), 機会(きかい), 機構(きこう), 乾燥機(かんそうき), 機関(きかん)"
338,騎,3,馬,기,말 타다,キ,の(る),"騎士(きし), 一騎打ち(いっきうち), 騎手(きしゅ), 騎乗(きじょう), 一騎当千(いっきとうせん)"
339,技,6,手,기,"재주, 기술",ギ,わざ,"技術(ぎじゅつ), 競技(きょうぎ), 演技(えんぎ), 国技館(こくぎかん), 競技場(きょうぎじょう)"
340,宜,2.5,宀,의,마땅,ギ,よろ(しい)・よ(い)・むべ・よろ(しく…べし),"適宜(てきぎ), 宜しくお願いします(よろしくおねがいします), 便宜(べんぎ), 宜しくお願い致します(よろしくおねがいいたします), 宜しく(よろしく)"
341,偽,2.5,人,위,"가짜, 속이다",ギ,いつわ(る)・にせ,"虚偽(きょぎ), 偽装(ぎそう), 偽造(ぎぞう), 偽り(いつわり), 偽物(ぎぶつ)"
342,欺,3,欠,기,속이다,ギ・キ,あざむ(く),"詐欺(さぎ), 振り込め詐欺(ふりこめさぎ), 詐欺罪(さぎざい), 詐欺師(さぎし), フィッシング詐欺(フィッシングさぎ)"
343,義,6,羊,의,옳음,ギ,よ(い),"義務(ぎむ), 義母(ぎぼ), 義父(ぎふ), 義理(ぎり), 意義(いぎ)"
344,疑,5,疋,의,의심하다,ギ,うたが(う)・うたぐ(る),"容疑者(ようぎしゃ), 容疑(ようぎ), 疑問(ぎもん), 疑い(うたがい), 疑惑(ぎわく)"
345,儀,4,人,의,의례,ギ,のり・よ(い),"葬儀(そうぎ), 礼儀(れいぎ), 余儀なく(よぎなく), 儀式(ぎしき), 祝儀(しゅうぎ)"
346,戯,4,戈,희,놀다,ギ・ゲ,たわむ(れる)・ざ(れる)・たわ(ける),"遊戯(ゆうぎ), 戯曲(ぎきょく)"
347,擬,2.5,手,의,"비기다, 비교하다",ギ,なぞら(える)・はか(る)・まがい・もどき,"模擬(もぎ), 模擬裁判(もぎさいばん), 擬似(ぎじ), 擬人化(ぎじんか), 模擬投票(もぎとうひょう)"
348,犠,3,牛,희,희생,ギ・キ,いけにえ,"犠牲(ぎせい), 犠牲者(ぎせいしゃ), 犠打(ぎだ), 犠飛(ぎひ), 犠牲フライ(ぎせいフライ)"
349,議,7,言,의,의논,ギ,はか(る),"協議(きょうぎ), 議員(ぎいん), 会議(かいぎ), 議論(ぎろん), 院議(いんぎ)"
350,菊,3,艸,국,국화,キク,無し,"菊花(きくか), 春菊(しゅんぎく)"
351,吉,3,口,길,길하다,チキ・キツ,よ(い),"吉兆(きっちょう), 吉祥(きちじょう), 吉報(きっぽう), 末吉(すえきち), 大吉(だいきち)"
352,喫,3,口,끽,먹다,キツ,の(む)・す(う)・く(う),"喫煙(きつえん), 喫茶(きっさ), 喫茶店(きっさてん), 満喫(まんきつ), 喫煙者(きつえんしゃ)"
353,詰,4,言,힐,"꾸짖다, 담다, 막히다",キツ,つ(める)・つ(まる)・つ(む)・なじ(る),"詰め(つめ), 詰まり(つまり), 缶詰(かんづめ), 詰める(つめる), 大詰め(おおづめ)"
354,却,4,卩,각,물리치다,キャク,しりぞ(く)・しりぞ(ける)・かえ(って),"売却(ばいきゃく), 棄却(ききゃく), 脱却(だっきゃく), 却下(きゃっか), 返却(へんきゃく)"
355,客,8,宀,객,손님,キャク・カク,まろうど,"観光客(かんこうきゃく), 観客(かんきゃく), お客様(おきゃくさま), お客さん(おきゃくさん), 顧客(こかく)"
356,脚,4,肉,각,다리,キャク・キャ・カク,あし,"脚本(きゃくほん), 脚本家(きゃくほんか), 脚光(きゃっこう), 二人三脚(ににんさんきゃく), 行脚(あんぎゃ)"
357,逆,6,辵,역,거스르다,ギャク・ゲキ,さか・さか(らう)・むか(える)・あらかじ(め),"逆に(ぎゃくに), 逆転(ぎゃくてん), 逆風(ぎゃくふう), 逆転勝ち(ぎゃくてんがち), 逆効果(ぎゃくこうか)"
358,虐,3,虍,학,학대하다,ギャク,しいた(げる)・むご(い),"虐待(ぎゃくたい), 虐殺(ぎゃくさつ), 児童虐待(じどうぎゃくたい), 残虐(ざんぎゃく), 虐め(いじめ)"
359,九,10,乙,구,"9, 아홉",キュウ・ク,ここの・ここの(つ)・あまた,"九州(きゅうしゅう), 北九州(きたきゅうしゅう), 十九(じゅうきゅう), 九重(ここのえ), 九州場所(きゅうしゅうばしょ)"
360,久,6,丿,구,오래다,キュウ・ク,ひさ(しい),"久しぶりに(ひさしぶりに), 久々(ひさびさ), 久しぶり(ひさしぶり), 長久(ちょうきゅう), 永久(えいきゅう)"
361,及,4,又,급,"미치다, 이르다",キュウ,およ(ぶ)・およ(び)・およ(ばす),"及び(および), 普及(ふきゅう), 言及(げんきゅう), 追及(ついきゅう), 及ぶ(およぶ)"
362,弓,9,弓,궁,활,キュウ,ゆみ,"真弓(まゆみ), 弓矢(きゅうし)"
363,丘,4,一,구,언덕,キュウ,おか,"丘陵(きゅうりょう), 砂丘(さきゅう)"
364,旧,6,日,구,옛,キュウ,ふる(い)・もと・ふ(る)・ふる(びる),"新旧(しんきゅう), 復旧(ふくきゅう), 旧ソ連(きゅうソれん), 旧姓(きゅうせい), 旧市(きゅうし)"
365,休,10,人,휴,쉬다,キュウ,やす(む)・やす(まる)・やす(める)・いこ(う)・や(める)・さいわ(い)・よ(い),"休み(やすみ), 休日(きゅうじつ), 夏休み(なつやすみ), 休暇(きゅうか), 休憩(きゅうけい)"
366,吸,5,口,흡,마시다,キュウ,す(う),"吸収(きゅうしゅう), 呼吸(こきゅう), 吸う(すう), 吸血鬼(きゅうけつき), 呼吸困難(こきゅうこんなん)"
367,朽,4,木,후,썩다,キュウ,く(ちる)・すた(れる),"老朽化(ろうきゅうか), 老朽化した(ろうきゅうかした)"
368,臼,2,臼,구,절구,キュウ,うす,茶臼(ちゃうす)
369,求,7,水,구,"구하다, 바라다",キュウ・グ,もと(める),"求め(もとめ), 求める(もとめる), 要求(ようきゅう), 請求(せいきゅう), 追求(ついきゅう)"
370,究,8,穴,구,"연구, 파헤치다",キュウ・ク,きわ(める)・きわ(まる),"研究(けんきゅう), 研究所(けんきゅうしょ), 研究者(けんきゅうしゃ), 研究会(けんきゅうかい), 研究科(けんきゅうか)"
371,泣,7,水,읍,울다,キュウ,な(く),"泣き(なき), 泣く(なく), 号泣(ごうきゅう), 泣ける(なける), 夜泣き(よなき)"
372,急,8,心,급,"급하다, 서두르다, 조급해지다, 재촉하다",キュウ,いそ(ぐ)・せ(く),"緊急(きんきゅう), 急に(きゅうに), 急増(きゅうぞう), 急速(きゅうそく), 急激(きゅうげき)"
373,級,8,糸,급,등급,キュウ,しな・くび,"高級(こうきゅう), 同級生(どうきゅうせい), 学級(がっきゅう), 上級(じょうきゅう), 階級(かいきゅう)"
374,糾,2.5,糸,규,얽히다,キュウ,あざな(う)・ただ(す),"糾弾(きゅうだん), 紛糾(ふんきゅう)"
375,宮,8,宀,궁,왕궁,キュウ・グウ・ク,みや・いえ,"宮城(きゅうじょう), 大宮(おおみや), 宮城県(みやぎけん), 神宮(じんぐう), 宮崎県(みやざきけん)"
376,救,6,攵,구,구하다,キュウ・グ・ク,すく(う)・たす(ける),"救済(きゅうさい), 救出(きゅうしゅつ), 救援(きゅうえん), 救う(すくう), 救助(きゅうじょ)"
377,球,8,玉,구,공,キュウ,たま,"野球(やきゅう), 高校野球(こうこうやきゅう), 球場(きゅうじょう), 野球場(やきゅうじょう), 地球(ちきゅう)"
378,給,7,糸,급,주다,キュウ,たま(う)・たまわ(る),"支給(しきゅう), 給料(きゅうりょう), 給与(きゅうよ), 受給(じゅきゅう), 供給(きょうきゅう)"
379,嗅,2,口,후,냄새 맡다,キュウ,か(ぐ),嗅覚(きゅうかく)
380,窮,2.5,穴,궁,"끝까지 가다, 다하다",キュウ,きわ(める)・きわ(まる),"窮屈(きゅうくつ), 困窮(こんきゅう), 窮地(きゅうち), 窮状(きゅうじょう), 窮する(きゅうする)"
381,牛,9,牛,우,소리,ギュウ・ゴ,うし,"牛乳(ぎゅうにゅう), 牛肉(ぎゅうにく), 牛丼(ぎゅうどん), 和牛(わぎゅう), 牛海綿状脳症(うしかいめんじょうのうしょう)"
382,去,8,厶,거,떠나다,キョ・コ,さ(る)・ゆ(く)・のぞ(く),"過去(かこ), 去年(きょねん), 死去(しきょ), 過去最高(かこさいこう), 撤去(てっきょ)"
383,巨,4,工,거,크다,キョ・コ,おお(きい)・おお(い),"巨大(きょだい), 巨人(きょじん), 巨額(きょがく), 巨匠(きょしょう), 巨人軍(きょじんぐん)"
384,居,6,尸,거,"거주, 있다",キョ・コ,い(る)・お(る)・お(く),"同居(どうきょ), 居る(いる), 入居(にゅうきょ), 居酒屋(いざかや), 住居(じゅうきょ)"
385,拒,2.5,手,거,거절하다,キョ,こば(む)・ふせ(ぐ),"拒否(きょひ), 拒絶(きょぜつ), 拒否権(きょひけん), 拒む(こばむ), 着信拒否(ちゃくしんきょひ)"
386,拠,4,手,거,근거,キョ・コ,よ(る)・よりどころ,"拠点(きょてん), 証拠(しょうこ), 根拠(こんきょ), 拠出(きょしゅつ), 本拠地(ほんきょち)"
387,挙,7,手,거,"오르다, 들다",キョ,あ(げる)・あ(がる)・こぞ(る)・こぞ(って),"選挙(せんきょ), 選挙区(せんきょく), 小選挙区(しょうせんきょく), 挙げた(あげた), 選挙戦(せんきょせん)"
388,虚,3,虍,허,"공허하다, 헛되다",キョ・コ,むな(しい)・うつ(ろ)・うろ・うつ(ける),"虚偽(きょぎ), 謙虚(けんきょ), 虚構(きょこう), 虚言(きょげん), 廃虚(はいきょ)"
389,許,6,言,허,"용서하다, 허락하다",キョ・コ,ゆる(す)・ばか(り)・もと,"許し(ばかし), 許可(きょか), 免許(めんきょ), 許す(ゆるす), 許容(きょよう)"
390,距,4,足,거,거리,キョ,へだ(てる)・けづめ・ふせ(ぐ),"距離(きょり), 長距離(ちょうきょり), 短距離(たんきょり), 遠距離(えんきょり), 距離感(きょりかん)"
391,魚,9,魚,어,물고기,ギョ,うお・さかな,"魚介類(ぎょかいるい), 雑魚(ざこ), 魚類(ぎょるい), 鮮魚(せんぎょ), 金魚(きんぎょ)"
392,御,4,彳,어,높임말,ギョ・ゴ,おん・お・み・おさ(める),"防御(ぼうぎょ), 親御(おやご), 防御率(ぼうぎょりつ), 御主人(ごしゅじん), 制御(せいぎょ)"
393,漁,7,水,어,"어업, 찾아다니다",ギョ・リョウ,すなど(る)・あさ(る)・いさ(り),"漁船(ぎょせん), 漁協(ぎょきょう), 漁業(ぎょぎょう), 漁師(りょうし), 漁港(ぎょこう)"
394,凶,4,凵,흉,흉하다,キョウ,わざわ(い)・わる(い)・おそ(れる),"凶悪(きょうあく), 凶器(きょうき), 凶暴(きょうぼう), 元凶(がんきょう), 凶悪犯罪(きょうあくはんざい)"
395,共,7,八,공,함께,キョウ,とも,"共同(きょうどう), と共に(とともに), 共産(きょうさん), 共通(きょうつう), 共に(ともに)"
396,叫,4,口,규,외치다,キョウ,さけ(ぶ),"叫び(さけび), 叫ぶ(さけぶ), 絶叫(ぜっきょう), 叫び声(さけびごえ), 泣き叫ぶ(なきさけぶ)"
397,狂,4,犬,광,미치다,キョウ,くる(う)・くる(おしい)・ふ(れる),"熱狂的(ねっきょうてき), 熱狂(ねっきょう), 狂言(きょうげん), 狂い(くるい), 狂気(きょうき)"
398,京,9,亠,경,서울,キョウ・ケイ・キン,みやこ,"東京(とうきょう), 東京都(とうきょうと), 京都(きょうと), 北京(ぺきん), 中京(ちゅうきょう)"
399,享,2.5,亠,향,누리다,キョウ,う(ける)・あ(たる),"享受(きょうじゅ), 享年(きょうねん)"
400,供,5,人,공,바치다,キョウ・ク,そな(える)・とも,"子供(こども), 提供(ていきょう), 子供たち(こどもたち), 供述(きょうじゅつ), 供する(きょうする)"
401,協,7,十,협,협력,キョウ,かな(う),"協力(きょうりょく), 協会(きょうかい), 協議(きょうぎ), 協議会(きょうぎかい), 協定(きょうてい)"
402,況,4,水,황,상황,キョウ,ありさま・いわ(んや),"状況(じょうきょう), 不況(ふきょう), 実況(じっきょう), 近況(きんきょう), 経済状況(けいざいじょうきょう)"
403,峡,3,山,협,골짜기,キョウ,はざま,海峡(かいきょう)
404,挟,2.5,手,협,끼다,キョウ,はさ(む)・はさ(まる)・さしはさ(む),挟む(さしはさむ)
405,狭,4,犬,협,좁다,キョウ・コウ,せま(い)・せば(める)・せば(まる)・さ,"狭い(せまい), 狭間(はざま), 手狭(てぜま), 狭き門(せまきもん)"
406,恐,4,心,공,무섭다,キョウ,おそ(れる)・おそ(ろしい)・こわ(い),"恐れ(おそれ), 恐怖(きょうふ), 恐れがある(おそれがある), 恐らく(おそらく), 恐ろしい(おそろしい)"
407,恭,2.5,心,공,공손하다,キョウ,うやうや(しい)・つつし(む),
408,胸,5,肉,흉,가슴,キョウ,むね・むな・こころ,"胸を張る(むねをはる), 度胸(どきょう), 胸元(むなもと), 胸中(きょうちゅう)"
409,脅,3,肉,협,"위협하다, 협박하다, 겁내다",キョウ,おびや(かす)・おど(す)・おど(かす)・おび(える),"脅威(きょうい), 脅し(おどし), 脅迫(きょうはく), 脅かす(おどかす), 脅かし(おどかし)"
410,強,9,弓,강,"강하다, 강요하다",キョウ・コウ,つよ(い)・つよ(まる)・つよ(める)・し(いる)・こわ(い)・したた(か)・つと(める),"強い(こわい), 勉強(べんきょう), 強調(きょうちょう), 強化(きょうか), 強さ(つよさ)"
411,教,9,攵,교,"가르치다, 배우다",キョウ,おし(える)・おそ(わる),"教育(きょういく), 教え(おしえ), 教授(きょうじゅ), 教室(きょうしつ), 教師(きょうし)"
412,郷,5,邑,향,시골,キョウ・ゴウ,さと,"故郷(こきょう), 郷土(きょうど), 郷土料理(きょうどりょうり), 帰郷(ききょう), 郷里(きょうり)"
413,境,6,土,경,경계,キョウ・ケイ,さかい,"環境(かんきょう), 環境省(かんきょうしょう), 境内(けいだい), 国境(くにざかい), 環境問題(かんきょうもんだい)"
414,橋,8,木,교,다리,キョウ,はし,"船橋(せんきょう), 石橋(いしばし), 新橋(しんばし), 橋渡し(はしわたし), 舟橋(ふなはし)"
415,矯,2.5,矢,교,바로잡다,キョウ,た(める)・いつわ(る),"矯正(きょうせい), 縮毛矯正(しゅくもうきょうせい)"
416,鏡,7,金,경,거울,キョウ,かがみ,"眼鏡(がんきょう), 望遠鏡(ぼうえんきょう), 鏡餅(かがみもち), 銅鏡(どうきょう), 顕微鏡(けんびきょう)"
417,競,7,立,경,"다투다, 겨루다",キョウ・ケイ,きそ(う)・せ(る)・きお(う)・くら(べる),"競技(きょうぎ), 競馬(けいば), 競争(きょうそう), 競う(きそう), 競技場(きょうぎじょう)"
418,響,4,音,향,울리다,キョウ,ひび(く),"影響(えいきょう), 響く(ひびく), 響き(ひびき), 影響力(えいきょうりょく), 悪影響(あくえいきょう)"
419,驚,4,馬,경,놀라다,キョウ,おどろ(く)・おどろ(かす),"驚き(おどろき), 驚く(おどろく), 驚異的(きょういてき), 驚愕(きょうがく), 驚異(きょうい)"
420,仰,4,人,앙,우러르다,ギョウ・コウ,あお(ぐ)・おお(せ)・あおの(く)・の(く),"信仰(しんこう), 仰る(おっしゃる), 大仰(おおぎょう), 仰ぐ(あおぐ), 仰るとおり(おっしゃるとおり)"
421,暁,2.5,日,효,새벽,ギョウ,あかつき・さと(る),
422,業,8,木,업,"행위, 업",ギョウ・ゴウ,わざ,"企業(きぎょう), 事業(じぎょう), 作業(さぎょう), 授業(じゅぎょう), 農業(のうぎょう)"
423,凝,3,冫,응,"굳다, 엉기다",ギョウ,こ(る)・こ(らす)・しこ(り)・こご(る),"凝縮(ぎょうしゅく), 凝った(こった), 凝り(こごり), 凝らす(こごらす)"
424,曲,8,曰,곡,"굽다, 기울다",キョク,ま(がる)・ま(げる)・くま・くせ・まが・かね,"楽曲(がっきょく), 作曲(さっきょく), 新曲(しんきょく), 曲げ(まげ), 作曲家(さっきょくか)"
425,局,8,尸,국,판,キョク,つぼね,"結局(けっきょく), 支局(しきょく), 事務局(じむきょく), 当局(とうきょく), 局長(きょくちょう)"
426,極,7,木,극,극도,キョク・ゴク,きわ(める)・きわ(まる)・きわ(み)・き(める)・き(まる),"積極的(せっきょくてき), 極めて(きわめて), 極端(きょくたん), 見極め(みきわめ), 究極(きゅうきょく)"
427,玉,10,玉,옥,구슬,ギョク,たま,"埼玉(さいたま), 埼玉県(さいたまけん), 目玉(めだま), お年玉(おとしだま), 玉ねぎ(たまねぎ)"
428,巾,2,巾,건,수건,キン,きれ・ふきん,雑巾(ぞうきん)
429,斤,3,斤,근,근,キン,おの,
430,均,6,土,균,고르다,キン,ひと(しい)・なら(す)・ととの(える),"平均(へいきん), 日経平均株価(にっけいへいきんかぶか), 均衡(きんこう), 平均的(へいきんてき), 均等(きんとう)"
431,近,9,辵,근,가깝다,キン・コン,ちか(い),"最近(さいきん), 近く(ちかく), 近い(ちかい), 近所(きんじょ), 付近(ふきん)"
432,金,10,金,"금, 김","금, 돈",キン・コン,かね・かな・こがね,"お金(おかね), 資金(しきん), 年金(ねんきん), 金融(きんゆう), 金額(きんがく)"
433,菌,2.5,艸,균,세균,キン,きのこ・たけ,"細菌(さいきん), 除菌(じょきん), 殺菌(さっきん), 雑菌(ざっきん), 乳酸菌(にゅうさんきん)"
434,勤,5,力,근,근무하다,キン・ゴン,つと(める)・つと(まる)・いそ(しむ),"勤務(きんむ), 勤め(つとめ), 通勤(つうきん), 転勤(てんきん), 出勤(しゅっきん)"
435,琴,2.5,玉,금,거문고,キン・ゴン,こと,
436,筋,5,竹,근,근육,キン,すじ,"筋肉(きんにく), 道筋(みちすじ), 売れ筋(うれすじ), 一筋(ひとすじ), 筋力(きんりょく)"
437,僅,2,人,근,"겨우, 근소함",キン,わず(か),僅か(わずか)
438,禁,6,示,금,금지,キン,とど(める)・い(む)・いさ(める),"禁止(きんし), 禁物(きんもつ), 禁煙(きんえん), 解禁(かいきん), 禁止法(きんしほう)"
439,緊,3,糸,긴,"긴장, 팽팽하다",キン,かた(い)・し(める)・ちぢ(む)・きび(しい),"緊張(きんちょう), 緊急(きんきゅう), 緊張感(きんちょうかん), 緊密(きんみつ), 緊迫(きんぱく)"
440,錦,2,金,금,비단,キン,にしき,
441,謹,2.5,言,근,삼가다,キン,つつし(む),"謹慎(きんしん), 不謹慎(ふきんしん), 謹んで(つつしんで)"
442,襟,2.5,衣,금,옷깃,キン,えり・むね,
443,吟,2.5,口,음,읊다,ギン,うた(う)・うめ(く),吟味(ぎんみ)
444,銀,8,金,은,은,ギン,しろがね,"銀行(ぎんこう), 銀座(ぎんざ), 日銀(にちぎん), 銀河(ぎんが), 銀メダル(ぎんメダル)"
445,区,8,匸,구,구역,ク,無し,"地区(ちく), 選挙区(せんきょく), 小選挙区(しょうせんきょく), 区間(くかん), 港区(みなとく)"
446,句,6,口,구,글귀,ク・コウ,あ(たる)・ま(がる),"文句(もんく), 俳句(はいく), 挙句(あげく), 文句なし(もんくなし), 絶句(ぜく)"
447,苦,8,艸,고,"괴롭다, 쓰다",ク,くる(しい)・くる(しむ)・くる(しめる)・にが(い)・にが(る)・にがな・はなは(だ),"苦手(にがて), 苦労(くろう), 苦しい(くるしい), 苦笑(くしょう), 苦しみ(くるしみ)"
448,駆,4,馬,구,"달리다, 쫓다, 몰다",ク,か(ける)・か(る)・お(う),"駆使(くし), 先駆け(さきがけ), 駆ける(かける), 駆け引き(かけひき), 駆除(くじょ)"
449,具,8,八,구,갖춤,グ,そな(わる)・そな(える)・つぶさ(に)・つま,"具体的(ぐたいてき), 具合(ぐあい), 家具(かぐ), 道具(どうぐ), 不具合(ふぐあい)"
450,惧,2,心,구,두려워하다,グ・ク,おそ(れる),"危惧(きぐ), 絶滅危惧種(ぜつめつきぐしゅ)"
451,愚,3,心,우,어리석다,グ,おろ(か),"愚痴(ぐち), 愚か(おろか), 愚直(ぐちょく), 愚痴る(ぐちる)"
452,空,10,穴,공,"하늘, 비다, 비우다",クウ,そら・あ(く)・あ(ける)・から・うつ(ろ)・す(く)・うつ(ける)・むな(しい)・あな・うろ,"星空(ほしぞら), 空港(くうこう), 空気(くうき), 日本航空(にっぽんこうくう), 航空(こうくう)"
453,偶,3,人,우,"짝, 어쩌다",グウ,たまたま・たぐい・ひとがた,"配偶者(はいぐうしゃ), 偶然(ぐうぜん), 土偶(どぐう)"
454,遇,3,辵,우,만나다,グウ・グ,あ(う)・もてな(す)・たまたま,"優遇(ゆうぐう), 待遇(たいぐう), 境遇(きょうぐう), 遭遇(そうぐう), 遇する(ぐうする)"
455,隅,2.5,阜,우,"모퉁이, 구석",グウ,すみ,"隅々(すみずみ), 片隅に(かたすみに), 片隅(かたすみ), 隅っこ(すみっこ)"
456,串,2,丨,관,꼬챙이,セン・カン,くし・つらぬ(く)・な(れる),
457,屈,4,尸,굴,굽다,クツ,かが(む)・くぐ(まる)・こご(まる),"屈指(くっし), 理屈(りくつ), 退屈(たいくつ), 窮屈(きゅうくつ), 屈辱(くつじょく)"
458,掘,4,手,굴,파다,クツ,ほ(る),"発掘(はっくつ), 掘削(くっさく), 採掘(さいくつ), 掘る(ほる), 根掘り葉掘り(ねほりはほり)"
459,窟,2,穴,굴,굴,クツ,いわや・ほらあな,洞窟(どうくつ)
460,熊,7,火,웅,곰,ユウ,くま,"熊本県(くまもとけん), 小熊(こぐま)"
461,繰,4,糸,조,"헤아리다, 되풀이하다",ソウ,く(る),"繰り返し(くりかえし), 繰り返す(くりかえす), 繰り広げる(くりひろげる), 繰り上げ(くりあげ), 資金繰り(しきんぐり)"
462,君,8,口,군,"너, 임금",クン,きみ,"郎君(ろうくん), 君たち(きみたち), 君臨(くんりん), 君主(くんしゅ), 諸君(しょくん)"
463,訓,7,言,훈,가르치다,クン・キン,おし(える)・よ(む),"訓練(くんれん), 教訓(きょうくん), 職業訓練(しょくぎょうくんれん), 訓示(くんじ), 特訓(とっくん)"
464,勲,2.5,力,훈,공훈,クン,いさお・いさおし,"勲章(くんしょう), 殊勲(しゅくん), 文化勲章(ぶんかくんしょう), 殊勲賞(しゅくんしょう)"
465,薫,2.5,艸,훈,향기가 나다,クン,かお(る)・かおりぐさ・た(く),
466,軍,7,車,군,군사,グン・クン,いくさ・つわもの,"米軍(べいぐん), 軍事(ぐんじ), 二軍(にぐん), 軍団(ぐんだん), 将軍(しょうぐん)"
467,郡,7,邑,군,고을,グン・クン,こおり,郡部(ぐんぶ)
468,群,7,羊,군,"무리, 모이다",グン,む(れる)・む(れ)・むら,"群馬県(ぐんまけん), 抜群(ばつぐん), 群れ(むれ), 症候群(しょうこうぐん), 群像(ぐんぞう)"
469,兄,9,儿,형,"형, 오빠",ケイ・キョウ,あに・え,"兄弟(きょうだい), お兄さん(おにいさん), お兄ちゃん(おにいちゃん), 義兄(あに), 兄妹(きょうだい)"
470,刑,3,刀,형,형벌,ケイ・ギョウ,しおき,"刑事(けいじ), 求刑(きゅうけい), 死刑(しけい), 量刑(りょうけい), 刑務所(けいむしょ)"
471,形,9,彡,형,모양,ケイ・ギョウ,かた・かたち・なり,"山形(やまがた), 人形(にんぎょう), 形式(けいしき), 形成(けいせい), 形態(けいたい)"
472,系,5,糸,계,이어매다,ケイ,つな(ぐ)・すじ,"理系(りけい), 生態系(せいたいけい), 系列(けいれつ), 日系(にっけい), 系統(けいとう)"
473,径,7,彳,경,거리,ケイ,みち・こみち・さしわたし・ただ(ちに),"直径(ちょっけい), 半径(はんけい), 口径(こうけい)"
474,茎,2.5,艸,경,줄기,ケイ,くき・なかご,歯茎(はぐき)
475,係,8,人,계,"관계, 관계되다",ケイ,かか(る)・かかり・かか(わる)・つな(ぐ),"関係(かんけい), 関係者(かんけいしゃ), 関係ない(かんけいない), 人間関係(にんげんかんけい), 信頼関係(しんらいかんけい)"
476,型,6,土,형,"형식, 모형",ケイ,かた,"新型(しんがた), 新型インフルエンザ(しんがたインフルエンザ), 大型(おおがた), 体型(たいけい), 小型(こがた)"
477,契,3,大,계,맺다,ケイ・キツ・ケツ,ちぎ(る)・きざ(む)・わりふ,"契約(けいやく), 契機(けいき), 契約社員(けいやくしゃいん), 契約者(けいやくしゃ), 契約書(けいやくしょ)"
