순번,한자,구자,급수,부수,음,훈,内音,内訓,外音,外訓,音,訓
435,琴,,2.5,玉,금,거문고,キン,こと,ゴン,,キン・ゴン,こと
436,筋,,5,竹,근,근육,キン,すじ,,,キン,すじ
437,僅,,2,人,근,"겨우, 근소함",キン,わず(か),,,キン,わず(か)
438,禁,,6,示,금,금지,キン,,,とど(める)・い(む)・いさ(める),キン,とど(める)・い(む)・いさ(める)
439,緊,,3,糸,긴,"긴장, 팽팽하다",キン,,,かた(い)・し(める)・ちぢ(む)・きび(しい),キン,かた(い)・し(める)・ちぢ(む)・きび(しい)
440,錦,,2,金,금,비단,キン,にしき,,,キン,にしき
441,謹,謹,2.5,言,근,삼가다,キン,つつし(む),,,キン,つつし(む)
442,襟,,2.5,衣,금,옷깃,キン,えり,,むね,キン,えり・むね
443,吟,,2.5,口,음,읊다,ギン,,,うた(う)・うめ(く),ギン,うた(う)・うめ(く)
444,銀,,8,金,은,은,ギン,,,しろがね,ギン,しろがね
445,区,區,8,匸,구,구역,ク,,,,ク,無し
446,句,,6,口,구,글귀,ク,,コウ,あ(たる)・ま(がる),ク・コウ,あ(たる)・ま(がる)
447,苦,,8,艸,고,"괴롭다, 쓰다",ク,くる(しい)・くる(しむ)・くる(しめる)・にが(い)・にが(る),,にがな・はなは(だ),ク,くる(しい)・くる(しむ)・くる(しめる)・にが(い)・にが(る)・にがな・はなは(だ)
448,駆,驅,4,馬,구,"달리다, 쫓다, 몰다",ク,か(ける)・か(る),,お(う),ク,か(ける)・か(る)・お(う)
449,具,,8,八,구,갖춤,グ,,,そな(わる)・そな(える)・つぶさ(に)・つま,グ,そな(わる)・そな(える)・つぶさ(に)・つま
450,惧,,2,心,구,두려워하다,グ,,ク,おそ(れる),グ・ク,おそ(れる)
451,愚,,3,心,우,어리석다,グ,おろ(か),,,グ,おろ(か)
452,空,,10,穴,공,"하늘, 비다, 비우다",クウ,そら・あ(く)・あ(ける)・から,,うつ(ろ)・す(く)・うつ(ける)・むな(しい)・あな・うろ,クウ,そら・あ(く)・あ(ける)・から・うつ(ろ)・す(く)・うつ(ける)・むな(しい)・あな・うろ
453,偶,,3,人,우,"짝, 어쩌다",グウ,,,たまたま・たぐい・ひとがた,グウ,たまたま・たぐい・ひとがた
454,遇,遇,3,辵,우,만나다,グウ,,グ,あ(う)・もてな(す)・たまたま,グウ・グ,あ(う)・もてな(す)・たまたま
455,隅,,2.5,阜,우,"모퉁이, 구석",グウ,すみ,,,グウ,すみ
456,串,,2,丨,관,꼬챙이,,くし,セン・カン,つらぬ(く)・な(れる),セン・カン,くし・つらぬ(く)・な(れる)
457,屈,,4,尸,굴,굽다,クツ,,,かが(む)・くぐ(まる)・こご(まる),クツ,かが(む)・くぐ(まる)・こご(まる)
458,掘,,4,手,굴,파다,クツ,ほ(る),,,クツ,ほ(る)
459,窟,,2,穴,굴,굴,クツ,,,いわや・ほらあな,クツ,いわや・ほらあな
460,熊,,7,火,웅,곰,,くま,ユウ,,ユウ,くま
461,繰,,4,糸,조,"헤아리다, 되풀이하다",,く(る),ソウ,,ソウ,く(る)
462,君,,8,口,군,"너, 임금",クン,きみ,,,クン,きみ
463,訓,,7,言,훈,가르치다,クン・キン,,,おし(える)・よ(む),クン・キン,おし(える)・よ(む)
464,勲,勳,2.5,力,훈,공훈,クン,,,いさお・いさおし,クン,いさお・いさおし
465,薫,薰,2.5,艸,훈,향기가 나다,クン,かお(る),,かおりぐさ・た(く),クン,かお(る)・かおりぐさ・た(く)
466,軍,,7,車,군,군사,グン,,クン,いくさ・つわもの,グン・クン,いくさ・つわもの
467,郡,,7,邑,군,고을,グン,,クン,こおり,グン・クン,こおり
468,群,,7,羊,군,"무리, 모이다",グン,む(れる)・む(れ)・むら,,,グン,む(れる)・む(れ)・むら
469,兄,,9,儿,형,"형, 오빠",ケイ・キョウ,あに,,え,ケイ・キョウ,あに・え
470,刑,,3,刀,형,형벌,ケイ,,ギョウ,しおき,ケイ・ギョウ,しおき
471,形,,9,彡,형,모양,ケイ・ギョウ,かた・かたち,,なり,ケイ・ギョウ,かた・かたち・なり
472,系,,5,糸,계,이어매다,ケイ,,,つな(ぐ)・すじ,ケイ,つな(ぐ)・すじ
473,径,徑,7,彳,경,거리,ケイ,,,みち・こみち・さしわたし・ただ(ちに),ケイ,みち・こみち・さしわたし・ただ(ちに)
474,茎,莖,2.5,艸,경,줄기,ケイ,くき,,なかご,ケイ,くき・なかご
475,係,,8,人,계,"관계, 관계되다",ケイ,かか(る)・かかり,,かか(わる)・つな(ぐ),ケイ,かか(る)・かかり・かか(わる)・つな(ぐ)
476,型,,6,土,형,"형식, 모형",ケイ,かた,,,ケイ,かた
477,契,契,3,大,계,맺다,ケイ,ちぎ(る),キツ・ケツ,きざ(む)・わりふ,ケイ・キツ・ケツ,ちぎ(る)・きざ(む)・わりふ
478,計,,9,言,계,"세다, 상의하다",ケイ,はか(る)・はか(らう),,かぞ(える),ケイ,はか(る)・はか(らう)・かぞ(える)
479,恵,惠,4,心,혜,"베풀다, 타고나다",ケイ・エ,めぐ(む),,,ケイ・エ,めぐ(む)
480,啓,啓,3,口,계,열다,ケイ,,,ひら(く)・もう(す),ケイ,ひら(く)・もう(す)
481,掲,揭,3,手,게,"걸다, 매달다",ケイ,かか(げる),,,ケイ,かか(げる)
482,渓,溪,2.5,水,계,계곡,ケイ,,,たに,ケイ,たに
483,経,經,6,糸,경,"지나다, 거치다",ケイ・キョウ,へ(る),キン,たていと・た(つ)・おさ(める),ケイ・キョウ・キン,へ(る)・たていと・た(つ)・おさ(める)
484,蛍,螢,2.5,虫,형,반딧불이,ケイ,ほたる,,,ケイ,ほたる
485,敬,,5,攵,경,존경하다,ケイ,うやま(う),キョウ,つつし(む),ケイ・キョウ,うやま(う)・つつし(む)
486,景,,7,日,경,풍경,ケイ,,エイ,,ケイ・エイ,無し
487,軽,輕,8,車,경,가볍다,ケイ,かる(い)・かろ(やか),キン,,ケイ・キン,かる(い)・かろ(やか)
488,傾,,4,人,경,기울다,ケイ,かたむ(く)・かたむ(ける),,かし(ぐ)・かた(げる)・くつがえ(る),ケイ,かたむ(く)・かたむ(ける)・かし(ぐ)・かた(げる)・くつがえ(る)
489,携,,3,手,휴,"휴대하다, 관여하다",ケイ,たずさ(える)・たずさ(わる),,はな(れる),ケイ,たずさ(える)・たずさ(わる)・はな(れる)
490,継,繼,4,糸,계,잇다,ケイ,つ(ぐ),,まま,ケイ,つ(ぐ)・まま
491,詣,,2,言,예,참배하다,ケイ,もう(でる),,いた(る)・まい(る),ケイ,もう(でる)・いた(る)・まい(る)
492,慶,,2.5,心,경,경축,ケイ,,キョウ,よろこ(ぶ)・よ(い),ケイ・キョウ,よろこ(ぶ)・よ(い)
493,憬,,2,心,경,"깨닫다, 동경하다",ケイ,,,あこが(れる),ケイ,あこが(れる)
494,稽,𥡴,2,禾,계,머무르다,ケイ,,,かんが(える)・とど(める)・とどこお(る),ケイ,かんが(える)・とど(める)・とどこお(る)
495,憩,,3,心,게,쉬다,ケイ,いこ(い)・いこ(う),,,ケイ,いこ(い)・いこ(う)
496,警,,5,言,경,경계하다,ケイ,,キョウ,いまし(める),ケイ・キョウ,いまし(める)
497,鶏,鷄,3,鳥,계,닭,ケイ,にわとり,,とり,ケイ,にわとり・とり
498,芸,藝,7,艸,예,"재주, 예술",ゲイ,,,わざ・う(える),ゲイ,わざ・う(える)
499,迎,迎,4,辵,영,맞이하다,ゲイ,むか(える),ギョウ・ゴウ,,ゲイ・ギョウ・ゴウ,むか(える)
500,鯨,,3,魚,경,고래,ゲイ,くじら,ケイ,,ゲイ・ケイ,くじら
501,隙,,2,阜,극,틈,ゲキ,すき,ケキ,ひま,ゲキ・ケキ,すき・ひま
502,劇,,5,刀,극,연극,ゲキ,,,はげ(しい),ゲキ,はげ(しい)
503,撃,擊,4,手,격,"치다, 쏘다",ゲキ,う(つ),ケキ,,ゲキ・ケキ,う(つ)
504,激,,5,水,격,심하다,ゲキ,はげ(しい),,はげ(ます),ゲキ,はげ(しい)・はげ(ます)
505,桁,,2,木,형,자릿수,,けた,コウ,,コウ,けた
506,欠,缺,7,欠,결,부족하다,ケツ,か(ける)・か(く),,,ケツ,か(ける)・か(く)
507,穴,,5,穴,혈,구멍,ケツ,あな,,,ケツ,あな
508,血,,8,血,혈,피,ケツ,ち,ケチ,,ケツ・ケチ,ち
509,決,,8,水,결,정하다,ケツ,き(める)・き(まる),,,ケツ,き(める)・き(まる)
510,結,,7,糸,결,"묶다, 맺다, 엮다",ケツ,むす(ぶ)・ゆ(う)・ゆ(わえる),ケチ・ケイ,す(く),ケツ・ケチ・ケイ,むす(ぶ)・ゆ(う)・ゆ(わえる)・す(く)
511,傑,傑,2.5,人,걸,뛰어나다,ケツ,,,すぐ(れる),ケツ,すぐ(れる)
512,潔,潔,6,水,결,깨끗하다,ケツ,いさぎよ(い),,きよ(い),ケツ,いさぎよ(い)・きよ(い)
513,月,,10,月,월,달,ゲツ・ガツ,つき,,,ゲツ・ガツ,つき
514,犬,,10,犬,견,개,ケン,いぬ,,,ケン,いぬ
515,件,,6,人,건,물건,ケン,,,くだり・くだん,ケン,くだり・くだん
516,見,,10,見,"견, 현",보다,ケン,み(る)・み(える)・み(せる),ゲン,まみ(える)・あらわ(れる),ケン・ゲン,み(る)・み(える)・み(せる)・まみ(える)・あらわ(れる)
517,券,券,5,刀,권,문서,ケン,,,てがた・わりふ,ケン,てがた・わりふ
518,肩,肩,4,肉,견,어깨,ケン,かた,,,ケン,かた
519,建,,7,廴,건,"세우다, 짓다",ケン・コン,た(てる)・た(つ),,くつがえ(す),ケン・コン,た(てる)・た(つ)・くつがえ(す)
520,研,硏,8,石,연,"연구, 갈다",ケン,と(ぐ),ゲン,みが(く),ケン・ゲン,と(ぐ)・みが(く)
521,県,縣,8,目,현,고을,ケン,,,あがた,ケン,あがた
522,倹,儉,3,人,검,검소하다,ケン,,,つま(しい)・つづま(やか),ケン,つま(しい)・つづま(やか)
523,兼,兼,4,八,겸,겸하다,ケン,か(ねる),,あわ(せる),ケン,か(ねる)・あわ(せる)
524,剣,劍,4,刀,검,칼,ケン,つるぎ,,,ケン,つるぎ
525,拳,拳,2,手,권,주먹,ケン,こぶし,ゲン,,ケン・ゲン,こぶし
526,軒,,4,車,헌,"처마, 집",ケン,のき,,くるま・てすり・と(ぶ)・たか(い),ケン,のき・くるま・てすり・と(ぶ)・たか(い)
527,健,,7,人,건,"건강, 건강하다",ケン,すこ(やか),,たけ(し)・したた(か),ケン,すこ(やか)・たけ(し)・したた(か)
528,険,險,6,阜,험,험하다,ケン,けわ(しい),,,ケン,けわ(しい)
529,圏,圈,4,囗,권,우리,ケン,,,かこ(い),ケン,かこ(い)
530,堅,,4,土,견,단단하다,ケン,かた(い),,,ケン,かた(い)
531,検,檢,6,木,검,검사,ケン,,,しら(べる)・あらた(める),ケン,しら(べる)・あらた(める)
532,嫌,嫌,2.5,女,혐,싫다,ケン・ゲン,きら(う)・いや,,うたが(う),ケン・ゲン,きら(う)・いや・うたが(う)
533,献,獻,2.5,犬,헌,드리다,ケン・コン,,,ささ(げる)・たてまつ(る)・まつ(る),ケン・コン,ささ(げる)・たてまつ(る)・まつ(る)
534,絹,,5,糸,견,비단,ケン,きぬ,,,ケン,きぬ
535,遣,遣,4,辵,견,"고용하다, 파견하다",ケン,つか(う)・つか(わす),,や(る),ケン,つか(う)・つか(わす)・や(る)
536,権,權,5,木,권,권리,ケン・ゴン,,,いきお(い)・おもり・はか(る)・かり,ケン・ゴン,いきお(い)・おもり・はか(る)・かり
537,憲,,5,心,헌,헌법,ケン,,,のり・のっと(る),ケン,のり・のっと(る)
538,賢,,3,貝,현,현명하다,ケン,かしこ(い),,さか(しい)・まさ(る),ケン,かしこ(い)・さか(しい)・まさ(る)
539,謙,謙,2.5,言,겸,겸손,ケン,,,へりくだ(る),ケン,へりくだ(る)
540,鍵,,2,金,건,"열쇠, 자물쇠",ケン,かぎ,,,ケン,かぎ
541,繭,,2.5,糸,견,고치,ケン,まゆ,,,ケン,まゆ
542,顕,顯,2.5,頁,현,나타나다,ケン,,,あき(らか)・あらわ(れる),ケン,あき(らか)・あらわ(れる)
543,験,驗,7,馬,험,"시험, 경험",ケン・ゲン,,,しるし・あかし・ため(す),ケン・ゲン,しるし・あかし・ため(す)
544,懸,,2.5,心,현,걸다,ケン・ケ,か(ける)・か(かる),,へだ(たる),ケン・ケ,か(ける)・か(かる)・へだ(たる)
545,元,,9,儿,원,"으뜸, 원래",ゲン・ガン,もと,,はじ(め),ゲン・ガン,もと・はじ(め)
546,幻,,3,幺,환,환상,ゲン,まぼろし,,まど(わす),ゲン,まぼろし・まど(わす)
547,玄,,4,玄,현,검정,ゲン,,,くろ・くろ(い),ゲン,くろ・くろ(い)
548,言,,9,言,언,"말, 말하다",ゲン・ゴン,い(う)・こと,,ことば,ゲン・ゴン,い(う)・こと・ことば
549,弦,,2.5,弓,현,"활시위, 줄",ゲン,つる,,,ゲン,つる
550,限,,6,阜,한,제한하다,ゲン,かぎ(る),,きり,ゲン,かぎ(る)・きり
551,原,,9,厂,원,"언덕, 근원",ゲン,はら,,もと・たず(ねる)・ゆる(す),ゲン,はら・もと・たず(ねる)・ゆる(す)
552,現,,6,玉,현,나타나다,ゲン,あらわ(れる)・あらわ(す),,うつつ,ゲン,あらわ(れる)・あらわ(す)・うつつ
553,舷,,2,舟,현,뱃전,ゲン,,,ふなばた・ふなべり,ゲン,ふなばた・ふなべり
554,減,,6,水,감,"빼다, 줄다",ゲン,へ(る)・へ(らす),,,ゲン,へ(る)・へ(らす)
555,源,,5,水,원,근원,ゲン,みなもと,,,ゲン,みなもと
556,厳,嚴,5,ツ,엄,엄하다,ゲン・ゴン,おごそ(か)・きび(しい),,いかめ(しい)・いか(つい),ゲン・ゴン,おごそ(か)・きび(しい)・いかめ(しい)・いか(つい)
557,己,,5,己,기,"나, 너",ユ・キ,おのれ,,つちのと,ユ・キ,おのれ・つちのと
558,戸,戶,9,戸,호,문,コ,と,,へ,コ,と・へ
559,古,,9,口,고,"옛, 오래되다",コ,ふる(い)・ふる(す),,いにしえ,コ,ふる(い)・ふる(す)・いにしえ
560,呼,,5,口,호,부르다,コ,よ(ぶ),,,コ,よ(ぶ)
561,固,,7,囗,고,"단단하다, 굳다",コ,かた(める)・かた(まる)・かた(い),,もと(より),コ,かた(める)・かた(まる)・かた(い)・もと(より)
562,股,,2,肉,고,가랑이,コ,また,,もも,コ,また・もも
563,虎,,2,虍,호,호랑이,コ,とら,,,コ,とら
564,孤,,3,子,고,외롭다,コ,,,みなしご・ひと(り)・そむ(く),コ,みなしご・ひと(り)・そむ(く)
565,弧,,3,弓,호,활,コ,,,きゆみ,コ,きゆみ
566,故,,6,攵,고,"까닭, 이유, 사정, 그러므로",コ,ゆえ,,ふる(い)・もと・ことさら(に),コ,ゆえ・ふる(い)・もと・ことさら(に)
567,枯,,4,木,고,시들다,コ,か(れる)・か(らす),,から(びる),コ,か(れる)・か(らす)・から(びる)
568,個,,6,人,개,낱,コ,,カ,,コ・カ,無し
569,庫,,8,广,고,곳집,コ・ク,,,くら,コ・ク,くら
570,湖,,8,水,호,호수,コ,みずうみ,,,コ,みずうみ
571,雇,雇,3,隹,고,고용하다,コ,やと(う),,,コ,やと(う)
572,誇,,4,言,과,자랑하다,コ,ほこ(る),,,コ,ほこ(る)
573,鼓,,4,鼓,고,"타악기, 울리다",コ,つづみ,,,コ,つづみ
574,錮,,2,金,고,막다,コ,,,ふさ(ぐ)・かた(い)・ながわずら(い),コ,ふさ(ぐ)・かた(い)・ながわずら(い)
575,顧,顧,3,頁,고,뒤돌아보다,コ,かえり(みる),,,コ,かえり(みる)
576,五,,10,二,오,"5, 다섯",ゴ,いつ・いつ(つ),,,ゴ,いつ・いつ(つ)
577,互,,4,二,호,서로,ゴ,たが(い),,かたみ(に),ゴ,たが(い)・かたみ(に)
578,午,,9,十,오,낮,ゴ,,,うま・ひる,ゴ,うま・ひる
579,呉,吳,2.5,口,오,주다,ゴ,,,くれ・く(れる),ゴ,くれ・く(れる)
580,後,,9,彳,후,뒤,ゴ・コウ,のち・うし(ろ)・あと・おく(れる),,しり,ゴ・コウ,のち・うし(ろ)・あと・おく(れる)・しり
581,娯,娛,3,女,오,즐기다,ゴ,,,たの(しむ),ゴ,たの(しむ)
582,悟,,3,心,오,깨닫다,ゴ,さと(る),,,ゴ,さと(る)
583,碁,,2.5,石,기,바둑,ゴ,,キ,,ゴ・キ,無し
584,語,,9,言,어,말하다,ゴ,かた(る)・かた(らう),ギョ,ことば・つ(げる),ゴ・ギョ,かた(る)・かた(らう)・ことば・つ(げる)
585,誤,誤,5,言,오,틀리다,ゴ,あやま(る),,まど(わす),ゴ,あやま(る)・まど(わす)
586,護,,6,言,호,도움,ゴ,,,まも(る)・まも(り),ゴ,まも(る)・まも(り)
587,口,,10,口,구,입,コウ・ク,くち,,,コウ・ク,くち
588,工,,9,工,공,장인,コウ・ク,,,たくみ・たく(む)・わざ,コウ・ク,たくみ・たく(む)・わざ
589,公,,9,八,공,공평,コウ,おおやけ,ク,きみ,コウ・ク,おおやけ・きみ
590,勾,,2,勹,구,굽다,コウ,,,ま(がる)・とら(える),コウ,ま(がる)・とら(える)
591,孔,,3,子,공,구멍,コウ,,ク,あな・はなは(だ),コウ・ク,あな・はなは(だ)
592,功,,7,力,공,공적,コウ・ク,,,いさお,コウ・ク,いさお
593,巧,,3,工,교,계략,コウ,たく(み),,たく(む)・うま(い),コウ,たく(み)・たく(む)・うま(い)
594,広,廣,9,广,광,넓다,コウ,ひろ(い)・ひろ(まる)・ひろ(める)・ひろ(がる)・ひろ(げる),,,コウ,ひろ(い)・ひろ(まる)・ひろ(める)・ひろ(がる)・ひろ(げる)
595,甲,,3,田,갑,"갑, 투구",コウ・カン,,,つめ・きのえ・よろい・かぶと,コウ・カン,つめ・きのえ・よろい・かぶと
596,交,,9,亠,교,"사귀다, 섞다, 주고받다",コウ,まじ(わる)・まじ(える)・ま(じる)・ま(ざる)・ま(ぜる)・か(う)・か(わす),,こもごも,コウ,まじ(わる)・まじ(える)・ま(じる)・ま(ざる)・ま(ぜる)・か(う)・か(わす)・こもごも
597,光,,9,儿,광,"빛, 빛나다",コウ,ひか(る)・ひかり,,,コウ,ひか(る)・ひかり
598,向,,8,口,향,향하다,コウ,む(く)・む(ける)・む(かう)・む(こう),キョウ,さき(に),コウ・キョウ,む(く)・む(ける)・む(かう)・む(こう)・さき(に)
599,后,,5,口,후,임금,コウ,,ゴ,のち・きさき・きみ,コウ・ゴ,のち・きさき・きみ
600,好,,7,女,호,좋아하다,コウ,この(む)・す(く),,よ(い)・よしみ,コウ,この(む)・す(く)・よ(い)・よしみ
601,江,,2.5,水,강,강,コウ,え,,,コウ,え
602,考,,9,耂,고,생각하다,コウ,かんが(える),,,コウ,かんが(える)
603,行,,9,行,"행, 항","가다, 실시하다",コウ・ギョウ・アン,い(く)・ゆ(く)・おこな(う),,や(る)・みち,コウ・ギョウ・アン,い(く)・ゆ(く)・おこな(う)・や(る)・みち
604,坑,,3,土,갱,구덩이,コウ,,,あな,コウ,あな
605,孝,,5,子,효,효도,コウ,,キョウ,,コウ・キョウ,無し
606,抗,,4,手,항,저항,コウ,,,あらが(う)・はりあ(う)・ふせ(ぐ)・こば(む),コウ,あらが(う)・はりあ(う)・ふせ(ぐ)・こば(む)
607,攻,,4,攵,공,공격하다,コウ,せ(める),,みが(く)・おさ(める),コウ,せ(める)・みが(く)・おさ(める)
608,更,,4,曰,"경, 갱","더욱, 깊어지다, 고치다",コウ,さら・ふ(ける)・ふ(かす),,か(える)・あらた(める),コウ,さら・ふ(ける)・ふ(かす)・か(える)・あらた(める)
609,効,效,6,力,효,효과,コウ,き(く),,かい・いた(す)・なら(う),コウ,き(く)・かい・いた(す)・なら(う)
610,幸,,8,干,행,"행복, 다행",コウ,さいわ(い)・さち・しあわ(せ),,みゆき,コウ,さいわ(い)・さち・しあわ(せ)・みゆき
611,拘,,3,手,구,구속,コウ,,,とら(える)・とど(める)・かか(わる)・こだわ(る),コウ,とら(える)・とど(める)・かか(わる)・こだわ(る)
612,肯,,2.5,肉,긍,긍정,コウ,,,うなず(く)・がえん(じる)・うべな(う)・あ(えて),コウ,うなず(く)・がえん(じる)・うべな(う)・あ(えて)
613,侯,,2.5,人,후,제후,コウ,,,まと・きみ,コウ,まと・きみ
614,厚,,6,厂,후,"두껍다, 뻔뻔하다",コウ,あつ(い),,,コウ,あつ(い)
615,恒,恆,4,心,항,항상,コウ,,,つね・つね(に),コウ,つね・つね(に)
616,洪,,2.5,水,홍,"넓다, 넘치다",コウ,,,おおみず,コウ,おおみず
617,皇,,5,白,황,임금,コウ・オウ,,,きみ・すめらぎ,コウ・オウ,きみ・すめらぎ
618,紅,,5,糸,홍,빨강,コウ・ク,べに・くれない,グ,あか(い)・もみ,コウ・ク・グ,べに・くれない・あか(い)・もみ
619,荒,,4,艸,황,"거칠다, 망치다",コウ,あら(い)・あ(れる)・あ(らす),,すさ(む)・すさ(ぶ),コウ,あら(い)・あ(れる)・あ(らす)・すさ(む)・すさ(ぶ)
620,郊,,3,邑,교,변두리,コウ,,,,コウ,無し
621,香,,7,香,향,"향기, 향기나다",コウ・キョウ,か・かお(り)・かお(る),,かんば(しい),コウ・キョウ,か・かお(り)・かお(る)・かんば(しい)
622,候,,7,人,후,"후보, 기후",コウ,そうろう,,うかが(う)・ま(つ)・さぶら(う),コウ,そうろう・うかが(う)・ま(つ)・さぶら(う)
623,校,,10,木,교,학교,コウ,,キョウ,くら(べる)・かんが(える)・かせ・あぜ,コウ・キョウ,くら(べる)・かんが(える)・かせ・あぜ
624,耕,,6,耒,경,"갈다, 일구다",コウ,たがや(す),,,コウ,たがや(す)
625,航,,6,舟,항,배,コウ,,,わた(る),コウ,わた(る)
626,貢,,2.5,貝,공,바치다,コウ・ク,みつ(ぐ),,,コウ・ク,みつ(ぐ)
627,降,降,5,阜,"강, 항",내리다,コウ,お(りる)・お(ろす)・ふ(る),ゴウ,くだ(る)・くだ(す),コウ・ゴウ,お(りる)・お(ろす)・ふ(る)・くだ(る)・くだ(す)
628,高,,9,高,고,"높다, 비싸다",コウ,たか(い)・たか・たか(まる)・たか(める),,,コウ,たか(い)・たか・たか(まる)・たか(める)
629,康,,7,广,강,건강,コウ,,,やす(い),コウ,やす(い)
630,控,,3,手,공,대기하다,コウ,ひか(える),,のぞ(く)・つ(げる),コウ,ひか(える)・のぞ(く)・つ(げる)
631,梗,,2,木,경,줄기,コウ,,キョウ,おおむ(ね)・ふさ(がる)・かた(い)・つよ(い)・でく,コウ・キョウ,おおむ(ね)・ふさ(がる)・かた(い)・つよ(い)・でく
632,黄,黃,9,黄,황,노랑,コウ・オウ,き・こ,,,コウ・オウ,き・こ
633,喉,,2,口,후,목구멍,コウ,のど,,,コウ,のど
634,慌,,3,心,황,당황하다,コウ,あわ(てる)・あわ(ただしい),,,コウ,あわ(てる)・あわ(ただしい)
635,港,港,8,水,항,항구,コウ,みなと,,,コウ,みなと
636,硬,,3,石,경,단단하다,コウ,かた(い),,,コウ,かた(い)
637,絞,,3,糸,교,"짜다, 조르다, 죄이다",コウ,しぼ(る)・し(める)・し(まる),,くび(る),コウ,しぼ(る)・し(める)・し(まる)・くび(る)
638,項,,4,頁,항,항목,コウ,,,うなじ,コウ,うなじ
639,溝,溝,2.5,水,구,도랑,コウ,みぞ,,どぶ,コウ,みぞ・どぶ
640,鉱,鑛,6,金,광,광물,コウ,,,あらがね,コウ,あらがね
641,構,構,6,木,구,"상관하다, 준비하다",コウ,かま(える)・かま(う),,,コウ,かま(える)・かま(う)
642,綱,,3,糸,강,밧줄,コウ,つな,,,コウ,つな
643,酵,,3,酉,효,삭히다,コウ,,,もと・こうじ,コウ,もと・こうじ
644,稿,,4,禾,고,원고,コウ,,,したがき・わら,コウ,したがき・わら
645,興,,6,臼,흥,흥하다,コウ・キョウ,おこ(る)・おこ(す),,,コウ・キョウ,おこ(る)・おこ(す)
646,衡,,2.5,行,형,저울,コウ,,,はかり・はか(る)・くびき,コウ,はかり・はか(る)・くびき
647,鋼,,5,金,강,강철,コウ,はがね,,,コウ,はがね
648,講,講,6,言,강,강의,コウ,,,,コウ,無し
649,購,購,2.5,貝,구,사다,コウ,,,あがな(う),コウ,あがな(う)
650,乞,,2,乙,걸,바라다,,こ(う),キツ・コツ,,キツ・コツ,こ(う)
651,号,號,8,口,호,호칭,ゴウ,,,さけ(ぶ)・よびな,ゴウ,さけ(ぶ)・よびな
652,合,,9,口,합,"맞다, 합치다",ゴウ・ガッ・カッ,あ(う)・あ(わす)・あ(わせる),コウ,,ゴウ・ガッ・カッ・コウ,あ(う)・あ(わす)・あ(わせる)
653,拷,,2.5,手,고,고문하다,ゴウ,,コウ,う(つ),ゴウ・コウ,う(つ)
654,剛,,2.5,刀,강,굳세다,ゴウ,,コウ,つよ(い)・かた(い),ゴウ・コウ,つよ(い)・かた(い)
655,傲,,2,人,오,오만하다,ゴウ,,,おご(る)・あなど(る)・あそ(ぶ),ゴウ,おご(る)・あなど(る)・あそ(ぶ)
656,豪,,4,豕,호,호걸,ゴウ,,コウ,つよ(い)・えら(い),ゴウ・コウ,つよ(い)・えら(い)
657,克,,3,儿,극,극복하다,コク,,,か(つ)・よ(く),コク,か(つ)・よ(く)
658,告,,6,口,고,알리다,コク,つ(げる),,,コク,つ(げる)
659,谷,,9,谷,곡,골짜기,コク,たに,ロク,きわ(まる)・や,コク・ロク,たに・きわ(まる)・や
660,刻,,5,刀,각,새기다,コク,きざ(む),,とき,コク,きざ(む)・とき
661,国,國,9,囗,국,나라,コク,くに,,,コク,くに
662,黒,黑,9,黒,흑,검정,コク,くろ・くろ(い),,,コク,くろ・くろ(い)
663,穀,穀,5,禾,곡,곡식,コク,,,,コク,無し
664,酷,,2.5,酉,혹,심하다,コク,,,きび(しい)・むご(い)・はなは(だしい),コク,きび(しい)・むご(い)・はなは(だしい)
665,獄,,3,犬,옥,감옥,ゴク,,,ひとや・うった(える),ゴク,ひとや・うった(える)
666,骨,,5,骨,골,뼈,コツ,ほね,,,コツ,ほね
667,駒,,2,馬,구,망아지,,こま,ク,,ク,こま
668,込,,4,辵,입,"담다, 채우다, 붐비다",,こ(む)・こ(める),,,無し,こ(む)・こ(める)
669,頃,,2,頁,경,무렵,,ころ,ケイ・キョウ,しばら(く)・かたあし,ケイ・キョウ,ころ・しばら(く)・かたあし
670,今,,9,人,금,지금,コン・キン,いま,,,コン・キン,いま
671,困,,5,囗,곤,곤란하다,コン,こま(る),,くる(しむ),コン,こま(る)・くる(しむ)
672,昆,,2.5,日,곤,곤충,コン,,,あに,コン,あに
673,恨,,3,心,한,원망하다,コン,うら(む)・うら(めしい),,,コン,うら(む)・うら(めしい)
674,根,,8,木,근,뿌리,コン,ね,,,コン,ね
675,婚,,4,女,혼,결혼,コン,,,,コン,無し
676,混,,6,水,혼,"섞다, 붐비다",コン,ま(じる)・ま(ざる)・ま(ぜる)・こ(む),,,コン,ま(じる)・ま(ざる)・ま(ぜる)・こ(む)
677,痕,,2,疒,흔,흔적,コン,あと,,,コン,あと
678,紺,,3,糸,감,감색,コン,,,,コン,無し
679,魂,,3,鬼,혼,영혼,コン,たましい,,たま,コン,たましい・たま
680,墾,,3,土,간,개간하다,コン,,,ひら(く),コン,ひら(く)
681,懇,,2.5,心,간,"간절, 공손함",コン,ねんご(ろ),,,コン,ねんご(ろ)
682,左,,10,工,좌,왼쪽,サ,ひだり,,,サ,ひだり
683,佐,,7,人,좌,보좌,サ,,,すけ・たす(ける),サ,すけ・たす(ける)
